DATA_INIZIO,9000014_5
2010-01-01,53.0
2010-01-02,22.0
2010-01-03,26.0
2010-01-04,34.0
2010-01-05,38.0
2010-01-06,34.0
2010-01-07,50.0
2010-01-08,26.0
2010-01-09,16.0
2010-01-10,30.0
2010-01-11,51.0
2010-01-12,68.0
2010-01-13,70.0
2010-01-14,57.0
2010-01-15,63.0
2010-01-16,49.0
2010-01-17,57.0
2010-01-18,85.0
2010-01-19,46.0
2010-01-20,41.0
2010-01-21,51.0
2010-01-22,58.0
2010-01-23,61.0
2010-01-24,60.0
2010-01-25,62.0
2010-01-26,49.0
2010-01-27,40.0
2010-01-28,56.0
2010-01-29,71.0
2010-01-30,85.0
2010-01-31,43.0
2010-02-01,47.0
2010-02-02,50.0
2010-02-03,75.0
2010-02-04,89.0
2010-02-05,69.0
2010-02-06,12.0
2010-02-07,32.0
2010-02-08,54.0
2010-02-09,47.0
2010-02-10,25.0
2010-02-11,26.0
2010-02-12,37.0
2010-02-13,48.0
2010-02-14,59.0
2010-02-15,70.0
2010-02-16,47.0
2010-02-17,67.0
2010-02-18,48.0
2010-02-19,24.0
2010-02-20,24.0
2010-02-21,12.0
2010-02-22,23.0
2010-02-23,34.0
2010-02-24,51.0
2010-02-25,47.0
2010-02-26,31.0
2010-02-27,26.0
2010-02-28,51.0
2010-03-01,44.0
2010-03-02,60.0
2010-03-03,45.0
2010-03-04,12.0
2010-03-05,28.0
2010-03-06,21.0
2010-03-07,28.0
2010-03-08,43.0
2010-03-09,29.0
2010-03-10,17.0
2010-03-11,37.0
2010-03-12,50.0
2010-03-13,62.0
2010-03-14,51.0
2010-03-15,62.0
2010-03-16,39.0
2010-03-17,55.0
2010-03-18,32.0
2010-03-19,33.0
2010-03-20,36.0
2010-03-21,46.0
2010-03-22,42.0
2010-03-23,40.0
2010-03-24,45.0
2010-03-25,53.0
2010-03-26,44.0
2010-03-27,14.0
2010-03-28,16.0
2010-03-29,21.0
2010-03-30,23.0
2010-03-31,19.0
2010-04-01,15.0
2010-04-02,23.0
2010-04-03,22.0
2010-04-04,16.0
2010-04-05,6.0
2010-04-06,20.0
2010-04-07,23.0
2010-04-08,32.0
2010-04-09,33.0
2010-04-10,31.0
2010-04-11,15.0
2010-04-12,14.0
2010-04-13,13.0
2010-04-14,17.0
2010-04-15,28.0
2010-04-16,29.0
2010-04-17,35.0
2010-04-18,29.0
2010-04-19,31.0
